"number","relationship","country_iso","country_name","partner_iso","partner_name"
69950,26955,USA,United States of America,VAT,Vatican
68906,17406,IRN,Iran,CHE,Switzerland
68633,13705,FRA,France,LBY,Libya
68535,7692,CAN,Canada,SYR,Syria
68465,19868,LBY,Libya,TUR,Turkey
68409,17439,IRQ,Iraq,ISR,Israel
67724,23288,NER,Niger,NGA,Nigeria
67635,13734,FRA,France,NLD,Netherlands
67522,26950,GBR,United Kingdom,ZWE,Zimbabwe
67314,164,AFG,Afghanistan,QAT,Qatar
67291,8747,CHN,China,ISR,Israel
66646,12770,EST,Estonia,RUS,Russia
66634,11,AFG,Afghanistan,AUS,Australia
66178,26896,UGA,Uganda,USA,United States of America
66100,530,DZA,Algeria,FRA,France
66051,13688,FRA,France,IRL,Ireland
65874,14751,DEU,Germany,CHE,Switzerland
65645,3542,BHR,Bahrain,SAU,Saudi Arabia
64698,17976,ITA,Italy,VAT,Vatican
64678,11440,DOM,Dominican Republic,USA,United States of America
64589,13715,FRA,France,MLI,Mali
64539,11982,EGY,Egypt,ETH,Ethiopia
64407,8863,CHN,China,TUR,Turkey
64090,24821,MDA,Republic of Moldova,RUS,Russia
63943,24601,PRT,Portugal,USA,United States of America
63898,7315,KHM,Cambodia,USA,United States of America
63172,18977,KWT,Kuwait,SAU,Saudi Arabia
62903,15031,GRC,Greece,RUS,Russia
62825,14958,GRC,Greece,ITA,Italy
62786,14978,GRC,Greece,MKD,North Macedonia
61953,18390,JOR,Jordan,LBN,Lebanon
61849,7583,CAN,Canada,IRN,Iran
61799,7440,CMR,Cameroon,NGA,Nigeria
61766,26235,ZAF,South Africa,GBR,United Kingdom
61549,25131,RUS,Russia,VEN,Venezuela
61453,18500,JOR,Jordan,GBR,United Kingdom
61335,26533,CHE,Switzerland,SYR,Syria
60917,8853,CHN,China,SYR,Syria
60705,10313,CUB,Cuba,RUS,Russia
60456,25132,RUS,Russia,VNM,Vietnam
59998,2656,AUS,Australia,RUS,Russia
59175,6665,BGR,Bulgaria,RUS,Russia
58723,13775,FRA,France,SAU,Saudi Arabia
58680,7586,CAN,Canada,ISR,Israel
58588,16863,HUN,Hungary,USA,United States of America
58215,4388,BEL,Belgium,RUS,Russia
58082,10676,CZE,Czechia,RUS,Russia
58070,2876,AUT,Austria,RUS,Russia
57995,24730,QAT,Qatar,TUR,Turkey
57973,13670,FRA,France,GRC,Greece
57717,1847,ARG,Argentina,BRA,Brazil
57663,22360,MAR,Morocco,USA,United States of America
57367,69,AFG,Afghanistan,FRA,France
57108,2673,AUS,Australia,SGP,Singapore
57094,18744,KEN,Kenya,TZA,Tanzania
56726,212,AFG,Afghanistan,TUR,Turkey
56255,8852,CHN,China,CHE,Switzerland
56246,2136,ARM,Armenia,IRN,Iran
56101,17834,ISR,Israel,ARE,United Arab Emirates
56034,10369,CUB,Cuba,VEN,Venezuela
55999,7707,CAN,Canada,UKR,Ukraine
55794,22830,NPL,Nepal,USA,United States of America
55686,2561,AUS,Australia,DEU,Germany
55424,182,AFG,Afghanistan,SAU,Saudi Arabia
55350,19867,LBY,Libya,TUN,Tunisia
55326,23726,NOR,Norway,RUS,Russia
55112,17305,IRN,Iran,JPN,Japan
54955,19340,LVA,Latvia,RUS,Russia
54945,2713,AUS,Australia,VNM,Vietnam
54828,26378,PSE,State of Palestine,TUR,Turkey
54823,19273,LAO,Lao,VNM,Vietnam
54806,21737,MEX,Mexico,ESP,Spain
54782,348,ALB,Albania,MKD,North Macedonia
54650,3580,BHR,Bahrain,USA,United States of America
54554,18355,JPN,Japan,THA,Thailand
54220,17166,IDN,Indonesia,JPN,Japan
54209,13789,FRA,France,PSE,State of Palestine
54022,12015,EGY,Egypt,ITA,Italy
54016,20799,MYS,Malaysia,GBR,United Kingdom
53986,17121,IND,India,LKA,Sri Lanka
53938,8710,CHN,China,EGY,Egypt
53876,8798,CHN,China,NGA,Nigeria
53764,2582,AUS,Australia,ISR,Israel
53373,14853,GHA,Ghana,NGA,Nigeria
53320,24600,PRT,Portugal,GBR,United Kingdom
52975,11964,ECU,Ecuador,GBR,United Kingdom
52802,26319,ESP,Spain,VEN,Venezuela
52294,3617,BGD,Bangladesh,CHN,China
52195,14644,DEU,Germany,IRQ,Iraq
52131,19826,LBY,Libya,RUS,Russia
51984,26823,TUR,Turkey,UKR,Ukraine
51905,24932,SDN,Republic of the Sudan,UGA,Uganda
51780,8753,CHN,China,KAZ,Kazakhstan
51639,23775,NOR,Norway,GBR,United Kingdom
51586,23933,PAK,Pakistan,ARE,United Arab Emirates
51464,2645,AUS,Australia,PHL,Philippines
51407,11742,COD,DR Congo,RWA,Rwanda
51203,12027,EGY,Egypt,LBN,Lebanon
51190,8833,CHN,China,SAU,Saudi Arabia
51138,17369,IRN,Iran,QAT,Qatar
50957,10694,CZE,Czechia,SVK,Slovakia
50938,25128,RUS,Russia,UZB,Uzbekistan
50620,22334,MAR,Morocco,ESP,Spain
50373,26664,THA,Thailand,GBR,United Kingdom
50315,12871,ETH,Ethiopia,KEN,Kenya
50305,17713,ISR,Israel,ITA,Italy
50282,2581,AUS,Australia,IRL,Ireland
50188,11489,PRK,DPR Korea,IRN,Iran
