"year","gov_period","tone","right","center","left","years_inoffice","change","election","partner_right","partner_center","partner_left","partner_years_inoffice","partner_change","partner_election"
1980,USA03,-0.7173879224938435,0,0,1,4,2.0,0,0,0,1,16,0.0,0
1980,USA03,2.756849084333724,0,0,1,4,2.0,0,1,0,0,1,1.0,1
1981,USA04,0.4948218258313899,1,0,0,1,2.0,1,0,0,1,2,0.0,0
1981,USA04,0.2550377862456763,1,0,0,1,2.0,1,0,1,0,1,0.0,1
1981,USA04,1.3483486854682836,1,0,0,1,2.0,1,0,1,0,2,0.0,0
1981,USA04,0.5307018707616331,1,0,0,1,2.0,1,1,0,0,2,2.0,0
1981,USA04,0.14700097864381156,1,0,0,1,2.0,1,0,1,0,1,0.0,1
1981,USA04,0.17030968809017555,1,0,0,1,2.0,1,0,1,0,12,0.0,0
1981,USA04,-0.17276038779305747,1,0,0,1,2.0,1,0,0,0,0,0.0,0
1981,USA04,-0.6944842221498817,1,0,0,1,2.0,1,0,0,1,13,0.0,0
1981,USA04,0.9825065976509757,1,0,0,1,2.0,1,0,0,1,26,0.0,0
1981,USA04,-0.8410124400907701,1,0,0,1,2.0,1,0,1,0,3,0.0,0
1981,USA04,0.6641537160576769,1,0,0,1,2.0,1,1,0,0,3,0.0,0
